Time,alt_msl_ft,ias_kt,vs_fps,pitch_deg,roll_deg,throttle
38.2083,292.5519138,90.63662613,-32.01218206,-9.539562649,-9.175236229,0.1240621651
38.4083,286.6305235,90.40852686,-25.38299142,-8.547774778,-8.259141714,0.1240621651
38.6083,282.2058744,90.17246667,-21.02660305,-7.665062058,-7.17144892,0.1240621651
38.8083,278.4041611,89.86158289,-17.14608937,-6.463515977,-6.2215919,0.1240621651
39.0083,275.3722675,89.45862515,-13.26382987,-4.879450725,-5.45857563,0.1240621651
39.2083,273.1544123,88.94734016,-8.994964773,-3.28798641,-4.661178762,0.1240621651
39.4083,271.7583425,88.37836628,-5.229450628,-2.702292338,-3.63247587,0.1240621651
39.6083,270.9521197,87.82301238,-3.064248163,-2.823154912,-2.358852224,0.1240621651
39.8167,270.4302335,87.25979475,-2.029640801,-2.712280608,-0.9551850512,0.1240621651
40.0083,270.1351166,86.71848653,-1.012660881,-2.100392621,0.3637728214,0.1240621651
40.2083,270.0647361,86.11222308,0.310875853,-1.444629743,1.72216456,0
40.4083,270.2647164,85.46790459,1.6743337,-0.8729485055,3.086862522,0
40.6083,270.7336068,84.7936579,3.004376517,-0.542428511,4.37651449,0
40.8083,271.419931,84.12837345,3.770089989,-1.229008231,5.234520745,0
41.0083,272.0716499,83.5449679,2.469254516,-3.580231316,5.345122005,0
41.2083,272.2139608,83.07605479,-0.976798771,-6.295789469,5.207100511,0
41.4083,271.6329137,82.70944577,-4.618477597,-8.630160777,5.028007409,0
41.6083,270.3211703,82.44269751,-8.363788612,-10.18358492,4.839378105,0
41.8083,268.164094,82.27041776,-12.2866546,-10.86084026,4.632893603,0
42.0083,265.4632185,82.20176822,-15.72995727,-11.08207384,4.382920729,0
42.2083,262.065116,82.18135384,-18.05419842,-11.28352235,4.036678203,0
42.4083,258.2727934,82.19525369,-19.83055622,-12.03328329,3.351509646,0
42.6083,254.0909908,82.25978657,-21.98122521,-12.82751281,2.106976817,0
42.8083,249.5204894,82.35282247,-23.5907365,-12.69001995,0.4706472341,0
43.0083,244.7347062,82.42940792,-24.28357865,-12.06048212,-1.205720195,0
43.2083,239.9379133,82.42638228,-23.50979973,-10.14850549,-2.456079335,0
43.4083,235.4963352,82.26439752,-20.89114641,-7.878318521,-3.342670846,0
43.6083,231.7056225,81.93749855,-17.10591349,-5.856511157,-4.053557692,0
43.8083,228.6799638,81.50624244,-13.34649044,-4.565679507,-4.659228419,0
44.0083,226.3312412,81.02359438,-10.34071959,-3.596045708,-4.803244421,0
44.2167,224.4923753,80.44924031,-7.414021897,-2.145308358,-3.90211583,0
44.4167,223.3466363,79.78339134,-4.039882301,-0.2239197985,-2.558392265,0
44.6083,222.9327994,79.0424435,-0.3836595848,1.160391724,-1.539969884,0
44.8083,223.175442,78.2472999,2.579658383,1.615471586,-1.091201963,0
45.0083,223.8872695,77.47263588,4.352928716,1.691485778,-1.041149917,0
45.2083,224.8677357,76.71240102,5.371108484,1.856588445,-0.8506130358,0
45.4083,226.0179336,75.95427169,6.082921273,2.018885206,-0.228334681,0
45.6083,227.2791022,75.20159422,6.495842299,2.038044424,0.5571386375,0
45.8083,228.6454667,74.43163258,6.592557464,1.90029009,1.464401926,0
46.0083,229.8949279,73.74251213,6.456552993,1.562774682,2.215288102,0
46.2083,231.1241435,73.0666349,5.7571043,0.5742886526,2.28237406,0
46.4083,232.1301255,72.46171678,4.270870722,-0.7283947209,1.459788869,0
46.6083,232.770818,71.94075592,2.125610611,-2.225144528,0.3023112413,0
46.8083,232.9306425,71.51023097,-0.4834681884,-3.699234592,-0.8719398085,0
47.0083,232.5451615,71.17148078,-3.290104584,-5.067174619,-1.996849534,0
47.2083,231.5930887,70.92268976,-6.130699074,-6.350263484,-3.063537262,0
47.4167,230.0750865,70.7613782,-8.948734378,-7.581609453,-4.074504613,0
47.6083,227.9997741,70.68396438,-11.68215233,-8.680938505,-5.025288997,0
47.8083,225.3901406,70.68465471,-14.44892904,-9.621439651,-5.850153597,0
48.0083,222.2721202,70.71076325,-16.32309328,-7.875309863,-6.178616411,0
48.2083,219.101099,70.5963809,-15.25432111,-5.160775231,-6.359885469,0
48.4083,216.3129608,70.29483517,-12.64557552,-2.72008185,-5.855442487,0
48.6083,214.14106,69.82616441,-9.121177354,-0.6752171195,-4.957381283,0
48.8083,212.6705007,69.2799315,-5.782297243,0.09331327963,-3.971017199,0
49.0083,211.7481195,68.7529381,-3.636763554,-0.0967083166,-2.907693413,0
49.2083,211.1327435,68.27072678,-2.621404124,-0.4841403132,-1.847205287,0
49.4083,210.6481537,67.82201327,-2.259962927,-0.7402654958,-0.8237907882,0
49.6083,210.2038511,67.39500299,-2.185091094,-0.8505181882,0.1538485997,0
49.8083,209.7619716,66.98172411,-2.218935502,-0.8722316566,1.163764521,0
50.0083,209.3098686,66.57721804,-2.277241951,-0.8606084479,2.2044522,0
50.2083,208.843433,66.18081434,-2.366301022,-0.8980299802,3.252884901,0
50.4083,208.3526545,65.79451777,-2.507839429,-0.9853504943,4.267201907,0
50.6083,207.8743239,65.45400161,-2.692864332,-1.271536917,4.829263602,0
50.8083,207.2320988,65.08723866,-3.257491847,-1.955369037,4.838091419,0
51.0083,206.4942937,64.79261242,-4.1161526,-2.693229739,4.499675169,0
51.2083,205.5625233,64.54282338,-5.196070483,-3.444921617,3.947120229,0
51.4083,204.4016884,64.33586323,-6.380944296,-4.055522325,3.072540286,0
51.6167,202.9454782,64.15923324,-7.581773101,-4.615885386,1.874653331,0
51.8083,201.3836275,64.02710245,-8.694846676,-4.893249581,0.723023525,0
52.0083,199.5585769,63.89969411,-9.522361931,-4.727711647,-0.4507209192,0
52.2083,197.6165518,63.75962413,-9.884180932,-4.336115524,-1.581813546,0
52.4083,195.635294,63.59605551,-9.924285429,-3.754250019,-2.798801185,0
52.6083,193.6899158,63.39497363,-9.536324805,-3.084200653,-4.066065497,0
52.8083,191.7647999,63.15796246,-9.00908561,-2.790899035,-4.966502635,0
53.0083,190.0693709,62.93314052,-8.70696221,-2.620103288,-4.990801116,0
53.2083,188.3605094,62.68258309,-8.376341678,-2.113769431,-4.532132077,0
53.4083,186.7564848,62.38970896,-7.643191739,-1.288414738,-4.00530337,0
53.6083,185.3307549,62.05592537,-6.652646676,-0.7580196109,-3.451804291,0
53.8083,184.0855253,61.70888181,-5.853805195,-0.5393894882,-2.764454151,0
54.0083,182.9794953,61.35602949,-5.228139281,-0.2301576702,-1.854984572,0
54.225,181.9595282,60.97061713,-4.565944433,0.3530153782,-0.7721922119,0
54.4083,181.159004,60.58689065,-3.790897535,1.070252785,0.2213300741,0
54.6083,180.4965164,60.1532371,-2.857433127,1.751035753,1.195753392,0
54.8083,180.0166514,59.69555375,-1.969037037,2.281734162,2.12550488,0
55.0167,179.6929082,59.20035916,-1.172733041,2.602993193,3.172330662,0
55.2083,179.514139,58.73940426,-0.7097390262,2.740533675,4.152298831,0
55.4083,179.4017847,58.25791345,-0.4228954121,2.892088343,5.120275873,0
55.6083,179.3377415,57.75536109,-0.1768744259,3.011273876,5.635555274,0
55.8083,179.3123837,57.3087444,-0.1268556886,2.643399796,5.568417963,0
56.0083,179.2487672,56.87028945,-0.525430997,1.886119523,5.115621054,0
56.2167,179.0817962,56.51911644,-1.22351484,1.12827558,4.479834536,0
56.4083,178.7429471,56.19752983,-2.16032161,0.3652684254,3.779542204,0
56.6083,178.2017778,55.91796195,-3.245515793,-0.1970662252,2.963783894,0
56.8083,177.4551526,55.66281408,-4.18886018,-0.2770065569,1.993698413,0
57.0083,176.5543824,55.40883506,-4.810486278,-0.04114231025,0.6467806133,0
57.2083,175.5636336,55.14498865,-5.11151677,0.2511834844,-0.8813346959,0
57.4167,174.4814925,54.86451008,-5.309412672,0.4099176336,-2.488302044,0
57.6083,173.4486519,54.61098387,-5.493367004,0.4696303421,-3.916186548,0
57.8083,172.3267826,54.35889093,-5.786013025,0.4414406323,-5.196993436,0
58.0083,171.1364123,54.11135653,-6.098529464,0.9923440409,-6.217403076,0
58.2083,169.9357821,53.83353584,-5.899492771,1.914974044,-7.052408221,0
58.4083,168.8083249,53.52180249,-5.391463536,2.625862545,-7.570563615,0
58.6083,167.7960932,53.18795412,-4.74557543,3.110830333,-7.777601904,0
58.8167,166.8768628,52.82575748,-4.087976346,3.550557738,-7.212541629,0
59.0083,166.1649302,52.47178771,-3.364545305,4.218398314,-6.019954079,0
59.2083,165.6004693,52.06139615,-2.289913253,5.112497973,-4.830409507,0
59.4083,165.2520546,51.62197974,-1.236462262,5.56583112,-3.939243781,0
59.6083,165.0922869,51.18006836,-0.4137247962,5.564012683,-3.172214602,0
59.8083,165.0514636,50.75410415,-0.07693113659,5.290762724,-2.493962211,0
60.0083,165.028392,50.33909504,-0.1665754916,5.130962906,-1.837984363,0
60.2083,164.9789135,49.92919171,-0.3102986531,5.179675572,-1.134336495,0
60.4083,164.9084383,49.51930608,-0.3750311626,5.340946789,-0.317804111,0
60.6083,164.8321459,49.10891639,-0.3679194347,5.502874286,0.6234503457,0
60.8083,164.7548564,48.70388331,-0.4039197459,5.500733694,1.69042932,0
61.0083,164.6529727,48.31412773,-0.6005276068,5.413948325,2.891083974,0
61.2083,164.5031186,47.94107806,-0.8562260983,5.413040907,4.186991059,0
61.4083,164.3075081,47.58482153,-1.092231727,5.218315208,4.863565031,0
61.6083,164.0520244,47.2580483,-1.44678494,4.771135256,4.821523271,0
61.8083,163.7115798,46.9750957,-2.000503999,3.955936977,4.177461749,0
62.0083,163.2147594,46.74685314,-2.950715531,3.330749901,2.949189168,0
62.2083,162.5560836,46.54580316,-3.608104929,3.292278562,1.628635903,0
62.4083,161.791573,46.35461095,-4.052664083,3.395941488,0.4720477724,0
62.6083,160.9456842,46.16867877,-4.413856056,3.745257093,-0.5049692366,0
62.8083,160.0546862,45.9748361,-4.505478933,4.383346657,-1.331051442,0
63.0083,159.1709281,45.76718737,-4.340474329,5.098604417,-2.000818573,0
63.2083,158.3386236,45.55234128,-4.009274974,5.584999845,-2.383410305,0
63.4083,157.5705617,45.34069206,-3.702993691,5.732101441,-2.57999067,0
63.6083,156.8569172,45.14194009,-3.443176827,5.87980514,-2.747530246,0
63.8083,156.5896016,44.64747152,-0.3157743496,5.409436292,-2.197290192,0
64.0083,156.531685,44.38321982,-0.2802580972,4.952208289,-1.762422321,0
64.2167,156.4627447,44.13631068,-0.3729743924,4.551048015,-1.27372758,0
64.4083,156.3852754,43.93332221,-0.3456576532,4.47073448,-0.4547506124,0
64.6083,156.3547777,43.71899287,-0.09639005612,4.97209253,-0.06861606848,0
64.8083,156.3351121,43.49831082,-0.1238201162,5.227272397,0.02966157705,0
65.0167,156.3005153,43.27034531,-0.1966606128,4.98687546,0.1057042569,0
65.2083,156.2630323,43.06920224,-0.14890055,4.530423925,0.1503860511,0
65.4083,156.2325389,42.86757279,-0.1523381191,4.445999423,0.1757652104,0
65.6083,156.2018335,42.68864804,-0.1666673269,4.390392926,0.1828586149,0
65.8083,156.1642844,42.47011344,-0.1653742468,4.360143171,0.1850886361,0
66.0083,156.1299937,42.28290432,-0.1960122578,4.326173631,0.1662157871,0
66.2083,156.0904808,42.08711083,-0.1972302753,4.315566895,0.1511298985,0
66.4083,156.0511303,41.89251347,-0.1965281228,4.313818472,0.1328458213,0
66.6083,156.0119172,41.701349,-0.1958598481,4.314043198,0.1197185168,0
66.8083,155.9728364,41.51472521,-0.1951036637,4.315133785,0.1161122898,0
67.0083,155.9339072,41.33267478,-0.1941458433,4.316598748,0.1225933925,0
67.2083,155.8951548,41.14333738,-0.1930278559,4.316826309,0.1376830408,0
67.4083,155.8560222,40.75094593,-0.1931286009,4.235934627,0.1612799299,0
67.6167,155.814516,40.09693093,-0.1940519804,4.063981743,0.1945100875,0
67.8083,155.7761578,39.3416232,-0.1932741077,3.890565819,0.2368298063,0
68.0083,155.7368921,38.50756709,-0.1898869095,3.762919165,0.2807413909,0
68.2083,155.6987594,37.63220378,-0.1847848816,3.673692991,0.315947728,0
68.4083,155.6618624,36.72025157,-0.1790038935,3.604931313,0.3464971332,0
68.6083,155.6262268,35.77596106,-0.17294205,3.546378226,0.3754420392,0
68.8083,155.591852,34.80478917,-0.1670364171,3.492976676,0.3904352319,0
69.0083,155.5591655,33.80878531,-0.1572472021,3.444440626,0.3799125599,0
69.2083,155.5283131,32.78639853,-0.149452763,3.399580026,0.351416158,0
